ensembl_transcript_id,sym,ensembl_peptide_id,Gene,Importance
ENSCGRT00001019624,ENSCGRG00001015915,ENSCGRP00001015383,13965,0.021430482485157092
ENSCGRT00001022667,Scn2a,ENSCGRP00001018423,16691,0.007285258189660689
ENSCGRT00001019578,ENSCGRG00001015971,ENSCGRP00001015337,13931,0.006957363732067477
ENSCGRT00001031309,Pgm1,ENSCGRP00001027062,24447,0.006488840670498738
ENSCGRT00001012113,Ctnnd1,ENSCGRP00001008017,7566,0.004485228091790185
ENSCGRT00001023763,Elavl3,ENSCGRP00001019519,17692,0.0035864873603600185
ENSCGRT00001008235,Mef2c,ENSCGRP00001005357,5100,0.003172934543020362
ENSCGRT00001021608,Kif21b,ENSCGRP00001017364,15740,0.0027471410749006575
ENSCGRT00001031936,Depdc5,ENSCGRP00001027688,25018,0.002296736671274493
ENSCGRT00001004824,Or5w13,ENSCGRP00001003360,3175,0.0022665253165363446
ENSCGRT00001028065,Actr10,ENSCGRP00001023819,21527,0.0021765227058668413
ENSCGRT00001025839,Fam234a,ENSCGRP00001021595,19526,0.0020401599374110556
ENSCGRT00001023831,Slc2a8,ENSCGRP00001019587,17750,0.0020125033128668354
ENSCGRT00001024797,C4b,ENSCGRP00001020553,18616,0.0019388750763595882
ENSCGRT00001016445,Mdn1,ENSCGRP00001012212,11168,0.0017969538050098652
ENSCGRT00001007579,Stk26,ENSCGRP00001004982,4731,0.0017927871980266707
ENSCGRT00001023322,Cyp1a1,ENSCGRP00001019078,17285,0.0017084395067642377
ENSCGRT00001007784,Git2,ENSCGRP00001005098,4857,0.0016697428931478702
ENSCGRT00001025938,Cep290,ENSCGRP00001021694,19608,0.0016229851229504788
ENSCGRT00001024173,Lipn,ENSCGRP00001019929,18055,0.001608184405826988
ENSCGRT00001019722,ENSCGRG00001016070,ENSCGRP00001015479,14055,0.0016078501752871848
ENSCGRT00001029067,Psma8,ENSCGRP00001024821,22439,0.00158994736519142
ENSCGRT00001015269,ENSCGRG00001012785,ENSCGRP00001011040,10126,0.001575911134865324
ENSCGRT00001016698,Fads2,ENSCGRP00001012464,11390,0.0015683842829194937
ENSCGRT00001031442,Efna1,ENSCGRP00001027195,24565,0.00156655465901752
ENSCGRT00001025563,Nup93,ENSCGRP00001021319,19294,0.0015645523719957316
ENSCGRT00001027746,Vill,ENSCGRP00001023500,21240,0.0015424946172722309
ENSCGRT00001024532,Rbfox3,ENSCGRP00001020288,18385,0.001539255381092828
ENSCGRT00001024323,Actr3b,ENSCGRP00001020079,18192,0.001535857979019697
ENSCGRT00001022565,Prrc2c,ENSCGRP00001018321,16596,0.0015269203722350691
ENSCGRT00001023720,ENSCGRG00001018897,ENSCGRP00001019476,17655,0.0015152965517452768
ENSCGRT00001026109,Ccl28,ENSCGRP00001021865,19762,0.0015040262244304726
ENSCGRT00001031711,ENSCGRG00001024458,ENSCGRP00001027464,24813,0.001488991689449889
ENSCGRT00001024353,Focad,ENSCGRP00001020109,18222,0.0014658840388726887
ENSCGRT00001006697,ENSCGRG00001005684,ENSCGRP00001004462,4246,0.0014621739860156099
ENSCGRT00001024969,Zbtb44,ENSCGRP00001020725,18763,0.001447940461112096
ENSCGRT00001001890,Snx9,ENSCGRP00001001652,1484,0.0014471106217223359
ENSCGRT00001015105,Adgrf5,ENSCGRP00001010877,9986,0.001410670507008018
ENSCGRT00001018566,ENSCGRG00001015235,ENSCGRP00001014329,13016,0.0013942515014189621
ENSCGRT00001008332,Plag1,ENSCGRP00001005414,5157,0.001391718856945583
ENSCGRT00001015171,Exoc3,ENSCGRP00001010943,10037,0.0013697682771326933
ENSCGRT00001021397,Bptf,ENSCGRP00001017153,15553,0.0013618906999835452
ENSCGRT00001025650,Nexn,ENSCGRP00001021406,19376,0.0013571991085704845
ENSCGRT00001030971,Picalm,ENSCGRP00001026725,24143,0.0013499337228483647
ENSCGRT00001014472,Cavin3,ENSCGRP00001010251,9448,0.0013486570782891144
ENSCGRT00001019902,Baiap2l2,ENSCGRP00001015659,14215,0.0013448881717580171
ENSCGRT00001029315,Zfp503,ENSCGRP00001025069,22651,0.00133336009120236
ENSCGRT00001024218,Actr6,ENSCGRP00001019974,18094,0.0013223065435977808
ENSCGRT00001009455,ENSCGRG00001008117,non-coding,5770,0.0013190592008691703
ENSCGRT00001002595,ENSCGRG00001002114,non-coding,1903,0.001317006946698453
ENSCGRT00001005223,Lgr5,ENSCGRP00001003595,3407,0.0013106739590240271
ENSCGRT00001012256,Ccnt1,ENSCGRP00001008147,7678,0.0013067513737896803
ENSCGRT00001023340,Lyst,ENSCGRP00001019096,17300,0.001301594856121107
ENSCGRT00001004742,Alx3,ENSCGRP00001003311,3124,0.0012996423870440719
ENSCGRT00001019270,Sf3b2,ENSCGRP00001015031,13655,0.0012983231295530906
ENSCGRT00001001908,Nkiras1,ENSCGRP00001001665,1495,0.0012918283097155061
ENSCGRT00001028679,Cdca2,ENSCGRP00001024433,22091,0.0012624320978698602
ENSCGRT00001024130,Ppp1r3c,ENSCGRP00001019886,18018,0.0012555913538822303
ENSCGRT00001018689,Uqcc1,ENSCGRP00001014452,13125,0.0012474095247228237
ENSCGRT00001004686,Farp2,ENSCGRP00001003275,3090,0.0012397524988260597
ENSCGRT00001030727,Spem3,ENSCGRP00001026481,23914,0.0012374457121766811
ENSCGRT00001017472,Irx2,ENSCGRP00001013235,12067,0.0012113169687420857
ENSCGRT00001016281,Odaph,ENSCGRP00001012048,11024,0.0012060396234355065
ENSCGRT00001032526,Fbxo44,ENSCGRP00001028278,25548,0.001194364159554681
ENSCGRT00001029798,Cog6,ENSCGRP00001025552,23082,0.0011905075202436755
ENSCGRT00001020887,Orc2,ENSCGRP00001016643,15094,0.0011889150174764517
ENSCGRT00001001568,Gmpr,ENSCGRP00001001459,1304,0.0011849445606591815
ENSCGRT00001018826,Mapkapk3,ENSCGRP00001014589,13253,0.0011752948908560733
ENSCGRT00001016583,Crispld2,ENSCGRP00001012350,11285,0.0011690493812356547
ENSCGRT00001025211,Grsf1,ENSCGRP00001020967,18978,0.0011673789138015992
ENSCGRT00001005769,ENSCGRG00001004849,ENSCGRP00001003915,3710,0.0011670330495559156
ENSCGRT00001010371,Add1,ENSCGRP00001006585,6298,0.0011602479494562377
ENSCGRT00001028824,Usp9x,ENSCGRP00001024578,22216,0.0011514172993045053
ENSCGRT00001001405,SNORD81,non-coding,1199,0.0011494461096865543
ENSCGRT00001028800,ENSCGRG00001022428,ENSCGRP00001024554,22194,0.0011480131345090573
ENSCGRT00001030471,Plekha6,ENSCGRP00001026225,23686,0.0011435094312692677
ENSCGRT00001012016,Arf6,ENSCGRP00001007929,7490,0.001140842417711704
ENSCGRT00001017013,ENSCGRG00001014084,ENSCGRP00001012778,11660,0.001132269987910722
ENSCGRT00001014969,Mrpl53,ENSCGRP00001010744,9864,0.001120012879350571
ENSCGRT00001022894,Slc66a3,ENSCGRP00001018650,16899,0.001109769886935913
ENSCGRT00001000006,ND1,ENSCGRP00001000001,3,0.0011081312765643875
ENSCGRT00001027366,ENSCGRG00001021440,ENSCGRP00001023121,20893,0.001108016214059588
ENSCGRT00001025269,Tpd52l2,ENSCGRP00001021025,19028,0.0011070882226343472
ENSCGRT00001031594,Ccdc88a,ENSCGRP00001027347,24706,0.001098837462539053
ENSCGRT00001022387,Abca1,ENSCGRP00001018143,16435,0.0010880113587932103
ENSCGRT00001028410,Cd79b,ENSCGRP00001024164,21842,0.00108299723176786
ENSCGRT00001000511,Plxna4,ENSCGRP00001000487,449,0.0010818274407442612
ENSCGRT00001012320,Pcdhb19,ENSCGRP00001008206,7730,0.0010688257132536118
ENSCGRT00001027553,B4galt7,ENSCGRP00001023307,21068,0.0010660440722707338
ENSCGRT00001031592,ENSCGRG00001024383,ENSCGRP00001027345,24705,0.0010652159691274027
ENSCGRT00001025350,Sigirr,ENSCGRP00001021106,19099,0.0010645479558942389
ENSCGRT00001018164,Lep,ENSCGRP00001013927,12667,0.0010612502202304636
ENSCGRT00001019110,Vps25,ENSCGRP00001014872,13511,0.0010608402263925956
ENSCGRT00001023546,Rbm26,ENSCGRP00001019302,17496,0.0010443113956618213
ENSCGRT00001031275,Galnt10,ENSCGRP00001027028,24413,0.001040451191908034
ENSCGRT00001025118,Nsd3,ENSCGRP00001020874,18900,0.001024999535760764
ENSCGRT00001024381,Zfp180,ENSCGRP00001020137,18249,0.001015020527990584
ENSCGRT00001023787,Brd3,ENSCGRP00001019543,17714,0.0010078843362970819
ENSCGRT00001013897,ENSCGRG00001011743,ENSCGRP00001009678,8971,0.0009915332089118736
ENSCGRT00001032307,Myo6,ENSCGRP00001028059,25349,0.0009899406518782106
ENSCGRT00001029658,Pacs2,ENSCGRP00001025412,22954,0.0009717531604682729
ENSCGRT00001008035,Ccdc122,ENSCGRP00001005246,4991,0.000970036058107325
ENSCGRT00001029688,Slc44a1,ENSCGRP00001025442,22982,0.0009670285801078787
ENSCGRT00001027653,Cept1,ENSCGRP00001023407,21157,0.000964250855102439
ENSCGRT00001032546,ENSCGRG00001025048,ENSCGRP00001028298,25564,0.0009551162293596154
