ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance
ENSCGRT00001019624,ENSCGRG00001015915,ENSCGRP00001015383,0.8611579934364746,1.251430654623206e-24,20.583909207424412,0.0025048770390004825
ENSCGRT00001021536,Tmem11,ENSCGRP00001017292,0.839592123769339,2.2705450714280115e-22,18.172022673024188,0.0031207320399365534
ENSCGRT00001019364,ENSCGRG00001015816,ENSCGRP00001015125,0.7908110642287858,2.6496225379088583e-18,13.89994055938641,0.0024940798172156937
ENSCGRT00001021546,Rims2,ENSCGRP00001017302,0.7897093295827473,3.1791658049353372e-18,13.818086529035696,0.019929825191368017
ENSCGRT00001013510,Hcrtr1,ENSCGRP00001009311,0.759845288326301,3.0377005204764023e-16,11.790865102304053,0.0039882775204780905
ENSCGRT00001028101,Tbc1d9,ENSCGRP00001023855,0.7582981715893108,3.777990159366978e-16,11.695034919296631,0.006294616103010715
ENSCGRT00001022240,Stk24,ENSCGRP00001017996,0.7532817627754338,7.578136925077784e-16,11.389949853082564,0.0028730466599900134
ENSCGRT00001019993,Dennd10,ENSCGRP00001015750,0.7414205344585092,3.685572038400918e-15,10.701289647911162,0.0007872102475385349
ENSCGRT00001025477,Cr2,ENSCGRP00001021233,0.7289263947491795,1.7817076071385676e-14,10.022128228795602,0.005067366823441727
ENSCGRT00001013823,Baz2b,ENSCGRP00001009606,0.7260900140646976,2.517380575511073e-14,9.874135221316651,0.0029743878925158752
ENSCGRT00001012466,Odf3,ENSCGRP00001008344,0.7257852789498359,2.6119542664283225e-14,9.85836643387773,0.0022950573450798697
ENSCGRT00001001338,ENSCGRG00001001008,ENSCGRP00001001296,0.7243788091889358,3.0946564473310236e-14,9.785914071471801,0.0018571911926146703
ENSCGRT00001020412,Acbd6,ENSCGRP00001016168,0.7241443975621191,3.183046362650624e-14,9.773890650359043,0.0037463464640720766
ENSCGRT00001028027,Taf13,ENSCGRP00001023781,0.7185654008438819,6.169998194299001e-14,9.492044127469384,0.004088258169228577
ENSCGRT00001031592,ENSCGRG00001024383,ENSCGRP00001027345,0.7170886075949368,7.33198393097952e-14,9.41880002242254,0.004761288074444605
ENSCGRT00001031724,Csnk1g3,ENSCGRP00001027477,0.7142053445850914,1.0236907215278912e-13,9.277406891888383,0.005243389280029921
ENSCGRT00001025750,P2rx2,ENSCGRP00001021506,0.7118612283169246,1.3387798050504417e-13,9.163996635125924,0.0023058207922446476
ENSCGRT00001021587,Ech1,ENSCGRP00001017343,0.7110407876230661,1.4696908154581734e-13,9.124625746465043,0.0009183068080028344
ENSCGRT00001026501,Cul1,ENSCGRP00001022256,0.7082512892639475,2.0134510232586471e-13,8.992000105774181,0.004729146280985187
ENSCGRT00001029885,Stn1,ENSCGRP00001025639,0.7081340834505391,2.0400952139138677e-13,8.986469056468458,0.0014409182898473543
ENSCGRT00001024149,Dcc,ENSCGRP00001019905,0.7050632911392406,2.872396385562382e-13,8.842731500046769,0.002613949292968537
ENSCGRT00001024566,Fam78b,ENSCGRP00001020322,0.7030239099859353,3.596544897627697e-13,8.748510041800841,0.04722921118821593
ENSCGRT00001029665,Snapin,ENSCGRP00001025419,0.6974917955930615,6.556220013358021e-13,8.497784213240154,0.0011725040445677223
ENSCGRT00001018821,ENSCGRG00001015410,ENSCGRP00001014584,0.6973042662916081,6.689442621819374e-13,8.489407540182533,0.007807294396468065
ENSCGRT00001027848,Speg,ENSCGRP00001023602,0.696530707923113,7.267032678242621e-13,8.454937523221519,0.002908523667266691
ENSCGRT00001016958,Zfpl1,ENSCGRP00001012723,-0.695124238162213,8.442335047532758e-13,8.392608498338374,0.009085262187655645
ENSCGRT00001027220,Tmem80,ENSCGRP00001022975,0.693764650726676,9.750919455623272e-13,8.332775605646495,0.009158073745268294
ENSCGRT00001012143,Dusp22,ENSCGRP00001008044,0.6934599156118143,1.0069909910030292e-12,8.319420865300886,0.002539318786772933
ENSCGRT00001019578,ENSCGRG00001015971,ENSCGRP00001015337,-0.6914439756211909,1.2447344200187826e-12,8.231587496679111,0.003833460959242275
ENSCGRT00001023826,Zfand2a,ENSCGRP00001019582,0.6883263009845288,1.7217630474167047e-12,8.097488926150882,0.002031520620803721
ENSCGRT00001028280,Cd44,ENSCGRP00001024034,0.6879512423816222,1.789802494813648e-12,8.081497319686038,0.002640425514024015
ENSCGRT00001015722,Helt,ENSCGRP00001011490,0.6831692451945617,2.918913055218552e-12,7.880206154304379,0.0018013715998209253
ENSCGRT00001022794,Cyp39a1,ENSCGRP00001018550,0.6830051570557899,2.96782783588301e-12,7.873383813545314,0.0021322175731959612
ENSCGRT00001016326,Pitpnc1,ENSCGRP00001012093,0.682794186591655,3.031876672755472e-12,7.864620405722621,0.0017322984800180554
ENSCGRT00001023082,Tnnt2,ENSCGRP00001018838,0.6808720112517581,3.679957496310088e-12,7.785197607976205,0.005142701213311104
ENSCGRT00001020596,Rbm46,ENSCGRP00001016352,0.6806844819503048,3.749874102225016e-12,7.777489532163693,0.0017494213609930323
ENSCGRT00001011383,Grpel1,ENSCGRP00001007354,0.6792780121894046,4.3164753498110784e-12,7.71990680157924,0.004822230681331377
ENSCGRT00001027170,Harbi1,ENSCGRP00001022925,0.6786685419596812,4.586768973470703e-12,7.695078603187332,0.0029584589963963614
ENSCGRT00001018936,ENSCGRG00001015506,ENSCGRP00001014698,0.6786216596343179,4.608221073008016e-12,7.693171842549865,0.0017036135124005698
ENSCGRT00001027195,Rab3gap1,ENSCGRP00001022950,-0.6779184247538678,4.9418018944418084e-12,7.66462344612865,0.0033599856532826123
ENSCGRT00001020374,Efemp2,ENSCGRP00001016130,0.6774730426629162,5.1649386184523945e-12,7.646594085268687,0.00206183584146685
ENSCGRT00001020638,Klhl14,ENSCGRP00001016394,0.675855602437881,6.059524974851502e-12,7.581451731536229,0.00222110207912911
ENSCGRT00001031802,Pdxdc1,ENSCGRP00001027555,0.6738396624472575,7.384056176865757e-12,7.500984344997877,0.00229381464611549
ENSCGRT00001001523,Ddx43,ENSCGRP00001001429,0.673230192217534,7.836455179862819e-12,7.476813960072369,0.0006078760686047469
ENSCGRT00001000030,ENSCGRG00001000030,non-coding,0.6730661040787623,7.962730910303013e-12,7.470318932431142,0.006848351249915192
ENSCGRT00001021663,Rpgr,ENSCGRP00001017419,-0.6719409282700423,8.882770932159486e-12,7.425922604692042,0.005469191962187192
ENSCGRT00001022718,Txnrd2,ENSCGRP00001018474,0.6711908110642288,9.551940770701697e-12,7.396461242863559,0.0038233853799146613
ENSCGRT00001026216,Plppr5,ENSCGRP00001021972,0.6710736052508205,9.660775726525271e-12,7.391867708857476,0.0007745083774347109
ENSCGRT00001000890,Dtymk,ENSCGRP00001000866,0.6699015471167371,1.0816675608602172e-11,7.346077525272968,0.0009137860725476651
ENSCGRT00001002231,Metazoa_SRP-ENSCGRG00001001791,non-coding,0.6699015471167371,1.0816675608602172e-11,7.346077525272968,0.0005820489746948292
ENSCGRT00001015063,Bicd1,ENSCGRP00001010837,0.669690576652602,1.1038372467131572e-11,7.337863239287362,0.0027160212249802648
ENSCGRT00001016259,Ephb3,ENSCGRP00001012026,0.6690811064228787,1.1703604600050654e-11,7.314180789687067,0.0039507526528692
ENSCGRT00001020438,Ntn1,ENSCGRP00001016194,0.6690576652601969,1.1729943974349617e-11,7.313271339503843,0.0021266163089242282
ENSCGRT00001013899,Lrp1,ENSCGRP00001009680,0.6681669010782936,1.2774097347894827e-11,7.278789577288116,0.002865659805149594
ENSCGRT00001024338,Mcm8,ENSCGRP00001020094,0.6676746366619785,1.338882128746352e-11,7.259798354345739,0.00589921740147556
