ensembl_transcript_id,In Regressor,In Spearman+Regressor,In Classifier,In Composite,Total Hits
ENSCGRT00001019624,True,True,True,True,4
ENSCGRT00001024323,True,False,True,True,3
ENSCGRT00001031592,True,True,False,True,3
ENSCGRT00001005223,True,False,True,True,3
ENSCGRT00001017013,True,True,False,True,3
ENSCGRT00001029665,False,True,True,True,3
ENSCGRT00001022794,False,True,True,True,3
ENSCGRT00001023166,False,True,True,True,3
ENSCGRT00001018936,False,True,True,False,2
ENSCGRT00001027967,False,True,True,False,2
ENSCGRT00001023082,False,True,True,False,2
ENSCGRT00001026216,False,True,False,True,2
ENSCGRT00001000890,False,True,False,True,2
ENSCGRT00001019364,False,True,False,True,2
ENSCGRT00001003000,False,True,False,True,2
ENSCGRT00001027245,False,True,False,True,2
ENSCGRT00001021197,False,True,False,True,2
ENSCGRT00001020626,False,False,True,True,2
ENSCGRT00001028824,True,False,False,True,2
ENSCGRT00001021608,True,False,False,True,2
ENSCGRT00001017472,True,False,False,True,2
ENSCGRT00001001128,False,False,True,True,2
ENSCGRT00001023322,True,False,False,True,2
ENSCGRT00001013510,False,True,False,True,2
ENSCGRT00001031711,True,False,False,True,2
ENSCGRT00001000595,False,False,True,True,2
ENSCGRT00001001523,False,True,True,False,2
ENSCGRT00001020438,False,True,True,False,2
ENSCGRT00001016259,False,True,False,True,2
ENSCGRT00001014214,False,False,True,True,2
ENSCGRT00001026501,False,True,True,False,2
ENSCGRT00001031442,True,False,False,True,2
ENSCGRT00001031058,False,True,True,False,2
ENSCGRT00001025350,True,False,False,True,2
ENSCGRT00001022565,True,False,False,True,2
ENSCGRT00001022667,True,False,False,True,2
ENSCGRT00001029885,False,True,False,True,2
ENSCGRT00001031309,True,False,False,True,2
ENSCGRT00001024048,False,False,True,True,2
ENSCGRT00001022718,False,True,False,True,2
ENSCGRT00001025211,True,False,False,True,2
ENSCGRT00001018193,False,True,False,True,2
ENSCGRT00001027848,False,True,False,True,2
ENSCGRT00001012320,True,False,False,True,2
ENSCGRT00001020412,False,True,False,True,2
ENSCGRT00001002231,False,True,False,True,2
ENSCGRT00001024241,False,True,True,False,2
ENSCGRT00001028280,False,True,True,False,2
ENSCGRT00001019578,True,True,False,False,2
ENSCGRT00001023552,False,True,True,False,2
ENSCGRT00001008524,False,False,True,True,2
ENSCGRT00001030971,True,False,False,False,1
ENSCGRT00001031128,False,False,True,False,1
ENSCGRT00001024580,False,False,False,True,1
ENSCGRT00001007784,True,False,False,False,1
ENSCGRT00001016397,False,True,False,False,1
ENSCGRT00001032208,False,True,False,False,1
ENSCGRT00001024218,True,False,False,False,1
ENSCGRT00001009823,False,False,False,True,1
ENSCGRT00001028627,False,False,False,True,1
ENSCGRT00001024173,True,False,False,False,1
ENSCGRT00001025925,False,False,False,True,1
ENSCGRT00001014269,False,True,False,False,1
ENSCGRT00001029798,True,False,False,False,1
ENSCGRT00001009455,True,False,False,False,1
ENSCGRT00001026648,False,False,True,False,1
ENSCGRT00001011939,False,True,False,False,1
ENSCGRT00001032526,True,False,False,False,1
ENSCGRT00001023787,True,False,False,False,1
ENSCGRT00001032307,True,False,False,False,1
ENSCGRT00001021840,False,True,False,False,1
ENSCGRT00001028842,False,False,False,True,1
ENSCGRT00001000006,True,False,False,False,1
ENSCGRT00001009142,False,False,True,False,1
ENSCGRT00001022813,False,False,True,False,1
ENSCGRT00001022087,False,False,True,False,1
ENSCGRT00001014085,False,False,True,False,1
ENSCGRT00001028397,False,False,False,True,1
ENSCGRT00001013871,False,False,True,False,1
ENSCGRT00001014678,False,False,True,False,1
ENSCGRT00001024532,True,False,False,False,1
ENSCGRT00001008332,True,False,False,False,1
ENSCGRT00001018164,True,False,False,False,1
ENSCGRT00001019722,True,False,False,False,1
ENSCGRT00001005014,False,False,True,False,1
ENSCGRT00001018980,False,True,False,False,1
ENSCGRT00001016194,False,False,True,False,1
ENSCGRT00001004993,False,False,True,False,1
ENSCGRT00001022083,False,False,False,True,1
ENSCGRT00001029582,False,False,True,False,1
ENSCGRT00001028983,False,False,False,True,1
ENSCGRT00001032126,False,False,False,True,1
ENSCGRT00001028284,False,True,False,False,1
ENSCGRT00001021588,False,False,False,True,1
ENSCGRT00001010136,False,False,False,True,1
ENSCGRT00001028065,True,False,False,False,1
ENSCGRT00001016427,False,False,False,True,1
ENSCGRT00001023674,False,False,False,True,1
ENSCGRT00001030471,True,False,False,False,1
ENSCGRT00001027609,False,True,False,False,1
ENSCGRT00001027746,True,False,False,False,1
ENSCGRT00001024149,False,True,False,False,1
ENSCGRT00001013899,False,True,False,False,1
ENSCGRT00001006697,True,False,False,False,1
ENSCGRT00001012131,False,False,False,True,1
ENSCGRT00001018271,False,False,True,False,1
ENSCGRT00001013823,False,True,False,False,1
ENSCGRT00001015105,True,False,False,False,1
ENSCGRT00001007579,True,False,False,False,1
ENSCGRT00001023366,False,False,True,False,1
ENSCGRT00001026109,True,False,False,False,1
ENSCGRT00001024635,False,False,True,False,1
ENSCGRT00001027234,False,False,True,False,1
ENSCGRT00001012256,True,False,False,False,1
ENSCGRT00001024566,False,True,False,False,1
ENSCGRT00001006357,False,False,True,False,1
ENSCGRT00001022281,False,False,False,True,1
ENSCGRT00001007898,False,False,False,True,1
ENSCGRT00001027972,False,True,False,False,1
ENSCGRT00001030046,False,False,False,True,1
ENSCGRT00001011513,False,False,True,False,1
ENSCGRT00001016643,False,True,False,False,1
ENSCGRT00001031613,False,False,True,False,1
ENSCGRT00001000582,False,False,False,True,1
ENSCGRT00001024797,True,False,False,False,1
ENSCGRT00001017704,False,False,False,True,1
ENSCGRT00001012715,False,True,False,False,1
ENSCGRT00001029315,True,False,False,False,1
ENSCGRT00001008235,True,False,False,False,1
ENSCGRT00001021365,False,False,True,False,1
ENSCGRT00001013344,False,False,True,False,1
ENSCGRT00001025750,False,True,False,False,1
ENSCGRT00001004686,True,False,False,False,1
ENSCGRT00001030727,True,False,False,False,1
ENSCGRT00001000668,False,False,False,True,1
ENSCGRT00001012888,False,False,False,True,1
ENSCGRT00001025563,True,False,False,False,1
ENSCGRT00001001338,False,True,False,False,1
ENSCGRT00001001405,True,False,False,False,1
ENSCGRT00001023838,False,False,True,False,1
ENSCGRT00001000641,False,False,True,False,1
ENSCGRT00001018252,False,False,True,False,1
ENSCGRT00001023720,True,False,False,False,1
ENSCGRT00001005769,True,False,False,False,1
